activation,batch_size,epochs,input_dim,loss,lr,Free_eng_score
leaky_relu,32,200,20,mse,0.005,0.8439589347004708
leaky_relu,32,200,20,mse,0.01,0.8602973538083867
leaky_relu,32,200,20,mse,0.05,0.9024281338302862
leaky_relu,32,200,20,mse,0.1,0.9053782948709862
leaky_relu,32,200,25,mse,0.005,0.6882554953791764
leaky_relu,32,200,25,mse,0.01,0.8318731600903259
leaky_relu,32,200,25,mse,0.05,0.7957029039617691
leaky_relu,32,200,25,mse,0.1,0.8318968226820707
leaky_relu,32,200,30,mse,0.005,0.8378752641685444
leaky_relu,32,200,30,mse,0.01,0.8576369274259421
leaky_relu,32,200,30,mse,0.05,0.8880715969720787
leaky_relu,32,200,30,mse,0.1,0.9001956466541515
leaky_relu,32,200,35,mse,0.005,0.623540718161973
leaky_relu,32,200,35,mse,0.01,0.7855137194870949
leaky_relu,32,200,35,mse,0.05,0.8148825968106324
leaky_relu,32,200,35,mse,0.1,0.850209898384529
leaky_relu,32,200,40,mse,0.005,0.807356756645422
leaky_relu,32,200,40,mse,0.01,0.837161119807294
leaky_relu,32,200,40,mse,0.05,0.8769181420917378
leaky_relu,32,200,40,mse,0.1,0.832016893530396
leaky_relu,32,250,20,mse,0.005,0.8462933959630443
leaky_relu,32,250,20,mse,0.01,0.8697701328105605
leaky_relu,32,250,20,mse,0.05,0.88847635348257
leaky_relu,32,250,20,mse,0.1,0.8803735125114789
leaky_relu,32,250,25,mse,0.005,0.7840160544928261
leaky_relu,32,250,25,mse,0.01,0.8324718351297483
leaky_relu,32,250,25,mse,0.05,0.7922519329620256
leaky_relu,32,250,25,mse,0.1,0.860734538349865
leaky_relu,32,250,30,mse,0.005,0.8574509164266579
leaky_relu,32,250,30,mse,0.01,0.8769991872838785
leaky_relu,32,250,30,mse,0.05,0.8869616130526612
leaky_relu,32,250,30,mse,0.1,0.9109488936614453
leaky_relu,32,250,35,mse,0.005,0.7702076611768944
leaky_relu,32,250,35,mse,0.01,0.7769263082506097
leaky_relu,32,250,35,mse,0.05,0.8167776916282503
leaky_relu,32,250,35,mse,0.1,0.8325128642898265
leaky_relu,32,250,40,mse,0.005,0.8193552741617312
leaky_relu,32,250,40,mse,0.01,0.8448910991404773
leaky_relu,32,250,40,mse,0.05,0.8683945992855719
leaky_relu,32,250,40,mse,0.1,0.8081329859143991
leaky_relu,32,300,20,mse,0.005,0.8499217842594202
leaky_relu,32,300,20,mse,0.01,0.8762974236887152
leaky_relu,32,300,20,mse,0.05,0.9112582820003926
leaky_relu,32,300,20,mse,0.1,0.880948574772206
leaky_relu,32,300,25,mse,0.005,0.8022171671368128
leaky_relu,32,300,25,mse,0.01,0.8314908937320916
leaky_relu,32,300,25,mse,0.05,0.772343551735222
leaky_relu,32,300,25,mse,0.1,0.836665817991759
leaky_relu,32,300,30,mse,0.005,0.8584111589390773
leaky_relu,32,300,30,mse,0.01,0.8818553482642674
leaky_relu,32,300,30,mse,0.05,0.8957595849982276
leaky_relu,32,300,30,mse,0.1,0.9040517584567647
leaky_relu,32,300,35,mse,0.005,0.8103612334595212
leaky_relu,32,300,35,mse,0.01,0.7849921164573563
leaky_relu,32,300,35,mse,0.05,0.817337265810482
leaky_relu,32,300,35,mse,0.1,0.8365876559571901
leaky_relu,32,300,40,mse,0.005,0.8253816223934326
leaky_relu,32,300,40,mse,0.01,0.8446252431160262
leaky_relu,32,300,40,mse,0.05,0.8803013007464512
leaky_relu,32,300,40,mse,0.1,0.8215352371425473
leaky_relu,64,200,20,mse,0.005,0.6915647497231321
leaky_relu,64,200,20,mse,0.01,0.8457981438717374
leaky_relu,64,200,20,mse,0.05,0.9084053477662183
leaky_relu,64,200,20,mse,0.1,0.9077665599297022
leaky_relu,64,200,25,mse,0.005,0.4423438475032667
leaky_relu,64,200,25,mse,0.01,0.6912857621038562
leaky_relu,64,200,25,mse,0.05,0.8418523657661614
leaky_relu,64,200,25,mse,0.1,0.7812155688136057
leaky_relu,64,200,30,mse,0.005,0.5355074098340985
leaky_relu,64,200,30,mse,0.01,0.8559450189446448
leaky_relu,64,200,30,mse,0.05,0.8290593731797339
leaky_relu,64,200,30,mse,0.1,0.903944890146696
leaky_relu,64,200,35,mse,0.005,0.2852079147228354
leaky_relu,64,200,35,mse,0.01,0.6465696191227742
leaky_relu,64,200,35,mse,0.05,0.7534368060125851
leaky_relu,64,200,35,mse,0.1,0.861989837549156
leaky_relu,64,200,40,mse,0.005,0.4885292564021786
leaky_relu,64,200,40,mse,0.01,0.8259217337402001
leaky_relu,64,200,40,mse,0.05,0.8632518622174271
leaky_relu,64,200,40,mse,0.1,0.7640954455547142
leaky_relu,64,250,20,mse,0.005,0.7917309879024927
leaky_relu,64,250,20,mse,0.01,0.8494628928615635
leaky_relu,64,250,20,mse,0.05,0.9119017655326734
leaky_relu,64,250,20,mse,0.1,0.8925664792838235
leaky_relu,64,250,25,mse,0.005,0.5131547354530075
leaky_relu,64,250,25,mse,0.01,0.8068941412079649
leaky_relu,64,250,25,mse,0.05,0.8608460686004662
leaky_relu,64,250,25,mse,0.1,0.8080003908614118
leaky_relu,64,250,30,mse,0.005,0.7357325165935277
leaky_relu,64,250,30,mse,0.01,0.8638927380765188
leaky_relu,64,250,30,mse,0.05,0.9093468864330139
leaky_relu,64,250,30,mse,0.1,0.9108696176221801
leaky_relu,64,250,35,mse,0.005,0.37823418222942173
leaky_relu,64,250,35,mse,0.01,0.7976528290613945
leaky_relu,64,250,35,mse,0.05,0.7610011963076335
leaky_relu,64,250,35,mse,0.1,0.8696890992388153
leaky_relu,64,250,40,mse,0.005,0.6627649097914026
leaky_relu,64,250,40,mse,0.01,0.8438012792797246
leaky_relu,64,250,40,mse,0.05,0.8595502974711504
leaky_relu,64,250,40,mse,0.1,0.4385707981763639
leaky_relu,64,300,20,mse,0.005,0.8300905211922069
leaky_relu,64,300,20,mse,0.01,0.8560145354995173
leaky_relu,64,300,20,mse,0.05,0.9102900681246662
leaky_relu,64,300,20,mse,0.1,0.8874391948967276
leaky_relu,64,300,25,mse,0.005,0.5921422098665088
leaky_relu,64,300,25,mse,0.01,0.8441653142093424
leaky_relu,64,300,25,mse,0.05,0.840558453190941
leaky_relu,64,300,25,mse,0.1,0.7696545940275912
leaky_relu,64,300,30,mse,0.005,0.8288804809323865
leaky_relu,64,300,30,mse,0.01,0.8600709588634846
leaky_relu,64,300,30,mse,0.05,0.9072018870582496
leaky_relu,64,300,30,mse,0.1,0.8997418569868926
leaky_relu,64,300,35,mse,0.005,0.49459572529602497
leaky_relu,64,300,35,mse,0.01,0.8169325685739024
leaky_relu,64,300,35,mse,0.05,0.7828995668070771
leaky_relu,64,300,35,mse,0.1,0.8685191728434841
leaky_relu,64,300,40,mse,0.005,0.7754661795580525
leaky_relu,64,300,40,mse,0.01,0.8541567098922305
leaky_relu,64,300,40,mse,0.05,0.8514801208954167
leaky_relu,64,300,40,mse,0.1,0.7612172479981936
selu,32,200,20,mse,0.005,-11.767563208442231
selu,32,200,20,mse,0.01,-11.767562995607381
selu,32,200,20,mse,0.05,-11.767562891103784
selu,32,200,20,mse,0.1,-11.767562891103784
selu,32,200,25,mse,0.005,-11.767562949410191
selu,32,200,25,mse,0.01,-11.767562911397626
selu,32,200,25,mse,0.05,-11.767562891103784
selu,32,200,25,mse,0.1,-11.767562891103784
selu,32,200,30,mse,0.005,-11.767563047948716
selu,32,200,30,mse,0.01,-11.767562951709987
selu,32,200,30,mse,0.05,-11.767562891103784
selu,32,200,30,mse,0.1,-11.767562891103784
selu,32,200,35,mse,0.005,-11.767562938117866
selu,32,200,35,mse,0.01,-11.76756290819228
selu,32,200,35,mse,0.05,-11.767562891103784
selu,32,200,35,mse,0.1,-11.767562891103784
selu,32,200,40,mse,0.005,-11.76756301033785
selu,32,200,40,mse,0.01,-11.767562937653008
selu,32,200,40,mse,0.05,-11.767562891103784
selu,32,200,40,mse,0.1,-11.767562891103784
selu,32,250,20,mse,0.005,-11.767563064961134
selu,32,250,20,mse,0.01,-11.767562949294042
selu,32,250,20,mse,0.05,-11.767562891103784
selu,32,250,20,mse,0.1,-11.767562891103784
selu,32,250,25,mse,0.005,-11.767562922611607
selu,32,250,25,mse,0.01,-11.767562902176175
selu,32,250,25,mse,0.05,-11.767562891103784
selu,32,250,25,mse,0.1,-11.767562891103784
selu,32,250,30,mse,0.005,-11.767562976311542
selu,32,250,30,mse,0.01,-11.767562924335465
selu,32,250,30,mse,0.05,-11.767562891103784
selu,32,250,30,mse,0.1,-11.767562891103784
selu,32,250,35,mse,0.005,-11.76756291641507
selu,32,250,35,mse,0.01,-11.767562900260076
selu,32,250,35,mse,0.05,-11.767562891103784
selu,32,250,35,mse,0.1,-11.767562891103784
selu,32,250,40,mse,0.005,-11.767562956792041
selu,32,250,40,mse,0.01,-11.76756291697862
selu,32,250,40,mse,0.05,-11.767562891103784
selu,32,250,40,mse,0.1,-11.767562891103784
selu,32,300,20,mse,0.005,-11.76756299165751
selu,32,300,20,mse,0.01,-11.767562924996241
selu,32,300,20,mse,0.05,-11.767562891103784
selu,32,300,20,mse,0.1,-11.767562891103784
selu,32,300,25,mse,0.005,-11.767562909256181
selu,32,300,25,mse,0.01,-11.767562897486735
selu,32,300,25,mse,0.05,-11.767562891103784
selu,32,300,25,mse,0.1,-11.767562891103784
selu,32,300,30,mse,0.005,-11.767562940110706
selu,32,300,30,mse,0.01,-11.767562910333883
selu,32,300,30,mse,0.05,-11.767562891103784
selu,32,300,30,mse,0.1,-11.767562891103784
selu,32,300,35,mse,0.005,-11.767562905668708
selu,32,300,35,mse,0.01,-11.767562896050785
selu,32,300,35,mse,0.05,-11.767562891103784
selu,32,300,35,mse,0.1,-11.767562891103784
selu,32,300,40,mse,0.005,-11.767562929355957
selu,32,300,40,mse,0.01,-11.767562906236563
selu,32,300,40,mse,0.05,-11.767562891103784
selu,32,300,40,mse,0.1,-11.767562891103784
selu,64,200,20,mse,0.005,-11.767564230880765
selu,64,200,20,mse,0.01,-11.767563299675482
selu,64,200,20,mse,0.05,-11.767562891103784
selu,64,200,20,mse,0.1,-11.767562891103784
selu,64,200,25,mse,0.005,-11.767563153517296
selu,64,200,25,mse,0.01,-11.767562978435556
selu,64,200,25,mse,0.05,-11.767562891103784
selu,64,200,25,mse,0.1,-11.767562891103784
selu,64,200,30,mse,0.005,-11.767563586906917
selu,64,200,30,mse,0.01,-11.767563148353274
selu,64,200,30,mse,0.05,-11.767562891103784
selu,64,200,30,mse,0.1,-11.767562891103784
selu,64,200,35,mse,0.005,-11.767563099219084
selu,64,200,35,mse,0.01,-11.767562966917714
selu,64,200,35,mse,0.05,-11.767562891103784
selu,64,200,35,mse,0.1,-11.767562891103784
selu,64,200,40,mse,0.005,-11.767563397919572
selu,64,200,40,mse,0.01,-11.767563061518857
selu,64,200,40,mse,0.05,-11.767562891103784
selu,64,200,40,mse,0.1,-11.767562891103784
selu,64,250,20,mse,0.005,-11.767563722116142
selu,64,250,20,mse,0.01,-11.76756315295123
selu,64,250,20,mse,0.05,-11.767562891103784
selu,64,250,20,mse,0.1,-11.767562891103784
selu,64,250,25,mse,0.005,-11.767563050622966
selu,64,250,25,mse,0.01,-11.76756294511755
selu,64,250,25,mse,0.05,-11.767562891103784
selu,64,250,25,mse,0.1,-11.767562891103784
selu,64,250,30,mse,0.005,-11.76756331441694
selu,64,250,30,mse,0.01,-11.767563051084544
selu,64,250,30,mse,0.05,-11.767562891103784
selu,64,250,30,mse,0.1,-11.767562891103784
selu,64,250,35,mse,0.005,-11.767563018749769
selu,64,250,35,mse,0.01,-11.767562938418104
selu,64,250,35,mse,0.05,-11.767562891103784
selu,64,250,35,mse,0.1,-11.767562891103784
selu,64,250,40,mse,0.005,-11.767563203205702
selu,64,250,40,mse,0.01,-11.767562998189439
selu,64,250,40,mse,0.05,-11.767562891103784
selu,64,250,40,mse,0.1,-11.767562891103784
selu,64,300,20,mse,0.005,-11.767563441238215
selu,64,300,20,mse,0.01,-11.767563068104966
selu,64,300,20,mse,0.05,-11.767562891103784
selu,64,300,20,mse,0.1,-11.767562891103784
selu,64,300,25,mse,0.005,-11.767562995173915
selu,64,300,25,mse,0.01,-11.767562926983187
selu,64,300,25,mse,0.05,-11.767562891103784
selu,64,300,25,mse,0.1,-11.767562891103784
selu,64,300,30,mse,0.005,-11.767563167775869
selu,64,300,30,mse,0.01,-11.767562997247394
selu,64,300,30,mse,0.05,-11.767562891103784
selu,64,300,30,mse,0.1,-11.767562891103784
selu,64,300,35,mse,0.005,-11.7675629750435
selu,64,300,35,mse,0.01,-11.76756292208029
selu,64,300,35,mse,0.05,-11.767562891103784
selu,64,300,35,mse,0.1,-11.767562891103784
selu,64,300,40,mse,0.005,-11.767563096907399
selu,64,300,40,mse,0.01,-11.767562962682625
selu,64,300,40,mse,0.05,-11.767562891103784
selu,64,300,40,mse,0.1,-11.767562891103784
